"Stkcd","Trddt","Opnprc","Hiprc","Loprc","Clsprc","Dnshrtrd"
"002371","2018-10-08","45.600","46.800","45.010","45.360","7250124"
"002371","2018-10-09","45.690","46.170","40.850","41.980","13105888"
"002371","2018-10-10","41.950","43.220","40.700","42.150","10102117"
"002371","2018-10-11","39.990","41.500","38.050","39.230","12596210"
"002371","2018-10-12","39.400","40.780","38.800","40.410","10078339"
"002371","2018-10-15","40.410","42.000","40.080","40.320","8019456"
"002371","2018-10-16","40.520","41.650","39.400","40.140","7949658"
"002371","2018-10-17","41.000","41.540","38.800","41.490","12546496"
"002371","2018-10-18","40.900","41.000","39.710","39.880","8367587"
"002371","2018-10-19","38.000","40.930","37.610","40.600","12354425"
"002371","2018-10-22","41.100","44.100","41.100","43.580","14940774"
"002371","2018-10-23","43.570","43.790","41.710","41.730","8863318"
"002371","2018-10-24","41.850","42.750","41.600","41.900","7527364"
"002371","2018-10-25","40.300","40.640","38.700","39.960","10271803"
"002371","2018-10-26","40.540","41.000","39.050","39.380","6381594"
"002371","2018-10-29","39.810","40.570","38.700","39.650","7626084"
"002371","2018-10-30","39.690","39.690","35.690","37.400","16254246"
"002371","2018-10-31","37.470","38.350","37.030","37.830","9492547"
"002371","2018-11-01","38.500","39.940","38.240","38.670","11409685"
"002371","2018-11-02","40.500","41.450","40.210","41.060","13105766"
"002371","2018-11-05","40.850","42.500","40.600","41.650","10574988"
"002371","2018-11-06","41.270","41.980","40.400","41.850","7534780"
"002371","2018-11-07","41.540","44.050","41.540","42.390","10636366"
"002371","2018-11-08","42.950","43.500","41.650","41.840","6200155"
"002371","2018-11-09","41.510","42.420","41.240","41.340","4520800"
"002371","2018-11-12","41.680","42.940","41.340","42.840","6477566"
"002371","2018-11-13","42.210","43.160","41.910","42.530","7519281"
"002371","2018-11-14","42.400","44.490","42.180","43.290","9853496"
"002371","2018-11-15","43.010","44.150","42.960","43.980","6365837"
"002371","2018-11-16","44.370","45.820","44.100","45.210","9809794"
"002371","2018-11-19","44.260","45.760","44.200","44.800","6433700"
"002371","2018-11-20","44.490","45.030","43.310","44.000","6880858"
"002371","2018-11-21","43.370","43.960","42.400","42.840","6146604"
"002371","2018-11-22","42.980","43.480","42.820","42.850","3628587"
"002371","2018-11-23","42.560","43.170","40.510","40.640","7391329"
"002371","2018-11-26","40.690","41.060","39.070","39.960","6247111"
"002371","2018-11-27","40.300","40.770","39.690","40.280","4803631"
"002371","2018-11-28","40.350","41.380","40.050","41.270","5463695"
"002371","2018-11-29","41.850","42.260","39.700","39.720","6960966"
"002371","2018-11-30","39.780","41.150","38.800","40.690","6167708"
"002371","2018-12-03","42.400","44.330","41.710","44.230","12526616"
"002371","2018-12-04","43.800","44.430","43.680","44.240","6746824"
"002371","2018-12-05","43.470","44.620","43.030","43.630","6654239"
"002371","2018-12-06","43.630","45.430","43.280","43.370","9519295"
"002371","2018-12-07","44.000","44.440","43.340","43.620","4856494"
"002371","2018-12-10","43.510","44.200","42.870","43.600","4317631"
"002371","2018-12-11","43.800","44.480","43.200","43.990","4287016"
"002371","2018-12-12","44.300","44.500","42.810","42.850","4767112"
"002371","2018-12-13","43.000","43.390","41.880","43.020","5787395"
"002371","2018-12-14","43.000","43.090","41.210","41.310","5633813"
"002371","2018-12-17","40.800","41.410","40.520","41.180","3587082"
